Country,Year,Cellphone,Internetuser,Radio,Telephone,Xlpopulation,Xlrealgdp
India,1950,0,0,460,168000,359000,222222
India,1951,0,0,577,164000,365000,227362
India,1952,0,0,695,179000,372000,234148
India,1953,0,0,838,184000,379000,248963
India,1954,0,0,917,209000,386000,259262
India,1955,0,0,996,232000,393000,265527
India,1956,0,0,1076,265000,401000,280978
India,1957,0,0,1252,295000,409000,277924
India,1958,0,0,1428,367000,418000,299137
India,1959,0,0,1604,427000,426000,305499
India,1960,0,0,2148,437000,434000,326910
India,1961,0,0,2690,0,444000,336744
India,1962,0,0,3232,594000,454000,344204
India,1963,0,0,3774,681000,464000,361442
India,1964,0,0,4317,763000,474000,389262
India,1965,0,0,5401,861000,485000,373814
India,1966,0,0,6485,927000,495000,377207
India,1967,0,0,7579,1018000,506000,408349
India,1968,0,0,9275,1057000,518000,418907
India,1969,0,0,10035,1120000,529000,446872
India,1970,0,0,11747,1217000,541000,469584
India,1971,0,0,12678,1293000,554000,474338
India,1972,0,0,13683,1396000,567000,472766
India,1973,0,0,14767,1600000,580000,494832
India,1974,0,0,15937,1637000,593000,500146
India,1975,0,0,17200,1744000,607000,544683
India,1976,0,0,18682,1914000,620000,551402
India,1977,0,0,20291,2096000,634000,593834
India,1978,0,0,22039,2247000,648000,625695
India,1979,0,0,23938,2424000,664000,594510
India,1980,0,0,26000,0,679000,637202
India,1981,0,0,30000,2982000,692000,675882
India,1982,0,0,34000,3019000,708000,697705
India,1983,0,0,38000,3238000,723000,753942
India,1984,0,0,44000,3488000,739000,783042
India,1985,0,0,50000,3761000,755000,814344
India,1986,0,0,53000,4057000,771000,848990
India,1987,0,0,56000,4420000,788000,886154
India,1988,0,0,60000,5113000,805000,978822
India,1989,0,0,63000,0,822000,1000000
India,1990,0,0,67000,0,839000,1100000
India,1991,0,0,80000,0,856000,1100000
India,1992,0,1002.75,85000,0,872000,1200000
India,1993,0,2002.513,90000,0,891000,1200000
India,1994,0,9997.783,95000,0,908000,1300000
India,1995,77053.62,251218.1,111000,0,927000,1400000
India,1996,331227.4,454473.5,113500,0,943000,1500000
India,1997,891262.8,707480.8,116000,0,959000,1600000
India,1998,1195350,1399942,118600,0,975000,1700000
India,1999,1886124,2802694,121200,0,991691,1800000
India,2000,3589557,5519162,0,0,1000000,1800000
India,2001,6465699,7037202,0,0,1000000,0
India,2002,12800000,16700000,0,0,1000000,0
India,2003,0,18600000,0,0,0,0
Japan,1875,0,0,0,0,35436,0
Japan,1876,0,0,0,0,35713,0
Japan,1877,0,0,0,0,36018,0
Japan,1878,0,0,0,0,36315,0
Japan,1879,0,0,0,0,36557,0
Japan,1880,0,0,0,0,36807,0
